2023-03-21 11:27:42.351; ImpedanceCheck; 0; 32; 1000; 5.532; BA DC
2023-03-21 11:28:42.397; Test signal; 1; 32; 1000; 5.531; BA DC
2023-03-21 11:29:42.452; Test signal; 0; 32; 1000; 5.528; BA DC
2023-03-21 11:30:42.428; Test signal; 1; 32; 1000; 5.528; BA DC
2023-03-21 11:31:42.554; Test signal; 1; 32; 1000; 5.528; BA DC
2023-03-21 11:32:43.223; Test signal; 1; 32; 1000; 5.528; BA DC
2023-03-21 11:33:43.565; ImpedanceCheck; 0; 32; 1000; 5.528; BA DC
2023-03-21 11:34:46.034; ImpedanceCheck; 0; 32; 1000; 5.529; BA DC
2023-03-21 11:35:48.519; ImpedanceCheck; 0; 32; 1000; 5.529; BA DC
2023-03-21 11:36:50.849; ImpedanceCheck; 0; 32; 1000; 5.528; BA DC
2023-03-21 11:37:53.301; ImpedanceCheck; 0; 32; 1000; 5.528; BA DC
2023-03-21 11:38:55.613; ImpedanceCheck; 0; 32; 1000; 5.529; BA DC
2023-03-21 11:39:58.091; ImpedanceCheck; 0; 32; 1000; 5.528; BA DC
2023-03-21 11:41:00.421; ImpedanceCheck; 0; 32; 1000; 5.528; BA DC
2023-03-21 11:42:06.730; ImpedanceCheck; 0; 32; 1000; 5.534; BA DC
2023-03-21 11:43:09.511; ImpedanceCheck; 0; 32; 1000; 5.527; BA DC
2023-03-21 11:44:11.847; ImpedanceCheck; 0; 32; 1000; 5.527; BA DC
2023-03-21 11:45:15.035; ImpedanceCheck; 0; 32; 1000; 5.527; BA DC
2023-03-21 11:46:15.017; Test signal; 0; 32; 1000; 5.528; BA DC
2023-03-21 11:47:19.891; ImpedanceCheck; 0; 32; 1000; 5.529; BA DC
2023-03-21 11:48:20.824; ImpedanceCheck; 0; 32; 1000; 5.528; BA DC
2023-03-21 11:49:23.144; ImpedanceCheck; 0; 32; 1000; 5.528; BA DC
2023-03-21 11:50:23.552; Monitoring; 1; 32; 1000; 5.529; BA DC
2023-03-21 11:51:24.315; Monitoring; 0; 32; 1000; 5.529; BA DC
2023-03-21 11:52:31.373; ImpedanceCheck; 0; 32; 1000; 5.529; BA DC
2023-03-21 11:53:36.102; ImpedanceCheck; 0; 32; 1000; 5.524; BA DC
2023-03-21 11:54:36.732; Monitoring; 0; 32; 1000; 5.524; BA DC
2023-03-21 11:55:36.767; Monitoring; 0; 32; 1000; 5.529; BA DC
2023-03-21 11:56:36.772; Monitoring; 1; 32; 1000; 5.529; BA DC
2023-03-21 11:57:36.768; Monitoring; 0; 32; 1000; 5.529; BA DC
2023-03-21 11:58:36.775; Monitoring; 1; 32; 1000; 5.529; BA DC
2023-03-21 11:59:36.785; Monitoring; 1; 32; 1000; 5.528; BA DC
2023-03-21 12:00:37.207; Monitoring; 1; 32; 1000; 5.528; BA DC
2023-03-21 12:01:37.224; Monitoring; 0; 32; 1000; 5.528; BA DC
2023-03-21 12:02:45.353; ImpedanceCheck; 0; 32; 1000; 5.528; BA DC
2023-03-21 12:03:45.353; Monitoring; 0; 32; 1000; 5.528; BA DC
2023-03-21 12:04:45.774; Test signal; 0; 32; 1000; 5.528; BA DC
2023-03-21 12:05:46.301; Test signal; 1; 32; 1000; 5.528; BA DC
2023-03-21 12:06:47.698; Test signal; 1; 32; 1000; 5.528; BA DC
